Entity,Kinds (list),Description,Proper noun (word list),Number,Properties (list),Relations (list)
thai,cuisine,"""Thai cooking places emphasis on lightly prepared dishes with strong aromatic components and a spicy edge.""", 'Thai',,,
mexican,cuisine,"""Mexican cuisine places emphasis on corn, beans, chili pepper, and various meats.""", 'Mexican',,,
fast_food,cuisine,"""Fast food is the quick and cheap option for people on the go.""",fast food,,,
vegan,cuisine,"""Vegans look upon the biproducts of animals as the spawn of Satan himself.""",vegan,,,
vegetarian,cuisine,"""Vegetarian cuisine consists of no animal meat.""",vegetarian,,,
sandwiches,cuisine,"""Bread with things in between.""",sandwiches,,,
soup,cuisine,"""A primarily liquid food made by combining meat and vegetables with stock.""",soup,,,
salad,cuisine,"""A dish primarily made of lettuce, kale, or spinach.""",salad,,,
breakfast ,cuisine,"""The best meal of the day.""",breakfast,,,
brunch,cuisine,"""Breakfast food for lunch.""",brunch,,,
cajun,cuisine,"""Highly seasoned and somewhat spicy food.""", 'Cajun',,,
southern,cuisine,"""Comfort food in a variety of ways, from BBQ to fried chicken.""",southern,,,
tapas,cuisine,"""A wide variety of appetizers eaten in succession.""",tapas,,,
spanish,cuisine,"""Dishes consiting of rice and meats such as paella.""", 'Spanish',,,
middle_eastern,cuisine,"""Commonly used ingredients include olives, pitas, honey, seasame seeds and chickpeas.""", 'Middle' 'Eastern',,,
asian,cuisine,"""Commonly used to refer to Chinese, Thai, and Japanese foods.""", 'Asian',,,
japanese,cuisine,"""Sushi, soups, and various noodles.""", 'Japanese',,,
pizza,cuisine,"""A bread and cheese dish with other opinonal toppings.""",pizza,,,
